tokenizer_id,corpus_id,mask,tokenizer_fingerprint,corpus_sha,code_version,n_chars,n_mask,n_gold_words,n_tokens,n_tokens_accepted,b_tp,b_fp,b_fn,b_tn,w_tp,w_pred,w_gold,w_intact,crossing_tokens,f_midcodepoint,f_cluster_split,f_overlap_rejected,f_dropped_chars,f_prefix_space_trim,n_sents
bloom,hkcancor_s,raw,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,b8ddbfc684e40364d686881c7f75b390-af9331ff81d8,c1-b1-a1,2858,2601,2178,3023,2637,1859,521,62,159,1606,2637,2178,1722,62,386,0,0,0,0,257
bloom,khpos,core,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,db07f6e38fbdec98e108f08272cddb44-af9331ff81d8,c1-b1-a1,50072,24146,10778,59984,40225,8215,11009,968,3954,2550,20224,10183,645,968,19759,19245,0,0,0,1000
bloom,khpos,legal,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,db07f6e38fbdec98e108f08272cddb44-af9331ff81d8,c1-b1-a1,50072,24906,10778,59984,40225,8809,11171,968,3958,3098,20980,10777,645,968,19759,19245,0,0,0,1000
bloom,khpos,raw,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,db07f6e38fbdec98e108f08272cddb44-af9331ff81d8,c1-b1-a1,50072,49072,10778,59984,40225,8809,30416,969,8878,642,40225,10778,645,969,19759,19245,0,0,0,1000
bloom,osf_cwsa_zh,core,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,40a6e2b75aed4185096260b399664383-af9331ff81d8,c1-b1-a1,10310,9313,5425,6681,6651,3952,1703,476,3182,2858,6155,4928,4062,472,30,0,0,0,0,500
bloom,osf_cwsa_zh,legal,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,40a6e2b75aed4185096260b399664383-af9331ff81d8,c1-b1-a1,10310,9810,5425,6681,6651,4448,1703,477,3182,3354,6651,5425,4062,473,30,0,0,0,0,500
bloom,osf_cwsa_zh,raw,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,40a6e2b75aed4185096260b399664383-af9331ff81d8,c1-b1-a1,10310,9810,5425,6681,6651,4448,1703,477,3182,3354,6651,5425,4062,473,30,0,0,0,0,500
bloom,sighan_as,core,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,2be63cd08c949b44cd6e9a69edbec5fc-af9331ff81d8,c1-b1-a1,68582,54820,42425,49846,48534,24910,10252,4179,15479,19343,40162,34089,34334,4037,1312,0,0,0,0,5000
bloom,sighan_as,legal,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,2be63cd08c949b44cd6e9a69edbec5fc-af9331ff81d8,c1-b1-a1,68582,63582,42425,49846,48534,32873,10661,4552,15496,26440,48534,42425,34334,4403,1312,0,0,0,0,5000
bloom,sighan_as,raw,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,2be63cd08c949b44cd6e9a69edbec5fc-af9331ff81d8,c1-b1-a1,68582,63582,42425,49846,48534,32873,10661,4552,15496,26440,48534,42425,34334,4403,1312,0,0,0,0,5000
bloom,sighan_cityu,core,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,58581cf718d59e4d15084352ad65b879-af9331ff81d8,c1-b1-a1,67689,53468,40936,48010,47677,23894,10258,3262,16054,15671,35644,28648,32593,3136,333,0,0,0,0,1492
bloom,sighan_cityu,legal,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,58581cf718d59e4d15084352ad65b879-af9331ff81d8,c1-b1-a1,67689,66197,40936,48010,47677,35614,10571,3830,16182,26003,47677,40936,32593,3667,333,0,0,0,0,1492
bloom,sighan_cityu,raw,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,58581cf718d59e4d15084352ad65b879-af9331ff81d8,c1-b1-a1,67689,66197,40936,48010,47677,35614,10571,3830,16182,26003,47677,40936,32593,3667,333,0,0,0,0,1492
bloom,sighan_msr,core,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,0560e07eb0101afa53c16a255caaa319-af9331ff81d8,c1-b1-a1,184355,146372,106873,119719,117076,60439,19720,11230,54983,43852,84144,75654,92647,10851,2643,0,0,0,0,3985
bloom,sighan_msr,legal,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,0560e07eb0101afa53c16a255caaa319-af9331ff81d8,c1-b1-a1,184355,180370,106873,119719,117076,90612,22479,12276,55003,70995,117076,106873,92647,11792,2643,0,0,0,0,3985
